emoji	signification
🙅🏻‍♀️	Femme Faisant Un Geste D’interdiction : Peau Claire
🙅🏼‍♀️	Femme Faisant Un Geste D’interdiction : Peau Moyennement Claire
🙅🏽‍♀️	Femme Faisant Un Geste D’interdiction : Peau Légèrement Mate
🙅🏾‍♀️	Femme Faisant Un Geste D’interdiction : Peau Mate
🙅🏿‍♀️	Femme Faisant Un Geste D’interdiction : Peau Foncée
🙆	Personne Faisant Un Geste D’acceptation
🙆🏻	Personne Faisant Un Geste D’acceptation : Peau Claire
🙆🏼	Personne Faisant Un Geste D’acceptation : Peau Moyennement Claire
🙆🏽	Personne Faisant Un Geste D’acceptation : Peau Légèrement Mate
🙆🏾	Personne Faisant Un Geste D’acceptation : Peau Mate
🙆🏿	Personne Faisant Un Geste D’acceptation : Peau Foncée
🙆‍♂️	Homme Faisant Un Geste D’acceptation
🙆🏻‍♂️	Homme Faisant Un Geste D’acceptation : Peau Claire
🙆🏼‍♂️	Homme Faisant Un Geste D’acceptation : Peau Moyennement Claire
🙆🏽‍♂️	Homme Faisant Un Geste D’acceptation : Peau Légèrement Mate
🙆🏾‍♂️	Homme Faisant Un Geste D’acceptation : Peau Mate
🙆🏿‍♂️	Homme Faisant Un Geste D’acceptation : Peau Foncée
🙆‍♀️	Femme Faisant Un Geste D’acceptation
🙆🏻‍♀️	Femme Faisant Un Geste D’acceptation : Peau Claire
🙆🏼‍♀️	Femme Faisant Un Geste D’acceptation : Peau Moyennement Claire
🙆🏽‍♀️	Femme Faisant Un Geste D’acceptation : Peau Légèrement Mate
🙆🏾‍♀️	Femme Faisant Un Geste D’acceptation : Peau Mate
🙆🏿‍♀️	Femme Faisant Un Geste D’acceptation : Peau Foncée
💁	Personne Paume Vers Le Haut
💁🏻	Personne Paume Vers Le Haut : Peau Claire
💁🏼	Personne Paume Vers Le Haut : Peau Moyennement Claire
💁🏽	Personne Paume Vers Le Haut : Peau Légèrement Mate
💁🏾	Personne Paume Vers Le Haut : Peau Mate
💁🏿	Personne Paume Vers Le Haut : Peau Foncée
💁‍♂️	Homme Paume Vers Le Haut
💁🏻‍♂️	Homme Paume Vers Le Haut : Peau Claire
💁🏼‍♂️	Homme Paume Vers Le Haut : Peau Moyennement Claire
💁🏽‍♂️	Homme Paume Vers Le Haut : Peau Légèrement Mate
💁🏾‍♂️	Homme Paume Vers Le Haut : Peau Mate
💁🏿‍♂️	Homme Paume Vers Le Haut : Peau Foncée
💁‍♀️	Femme Paume Vers Le Haut
💁🏻‍♀️	Femme Paume Vers Le Haut : Peau Claire
💁🏼‍♀️	Femme Paume Vers Le Haut : Peau Moyennement Claire
💁🏽‍♀️	Femme Paume Vers Le Haut : Peau Légèrement Mate
💁🏾‍♀️	Femme Paume Vers Le Haut : Peau Mate
💁🏿‍♀️	Femme Paume Vers Le Haut : Peau Foncée
🙋	Personne Qui Lève La Main
🙋🏻	Personne Qui Lève La Main : Peau Claire
🙋🏼	Personne Qui Lève La Main : Peau Moyennement Claire
🙋🏽	Personne Qui Lève La Main : Peau Légèrement Mate
🙋🏾	Personne Qui Lève La Main : Peau Mate
🙋🏿	Personne Qui Lève La Main : Peau Foncée
🙋‍♂️	Homme Qui Lève La Main
🙋🏻‍♂️	Homme Qui Lève La Main : Peau Claire
🙋🏼‍♂️	Homme Qui Lève La Main : Peau Moyennement Claire
🙋🏽‍♂️	Homme Qui Lève La Main : Peau Légèrement Mate
🙋🏾‍♂️	Homme Qui Lève La Main : Peau Mate
🙋🏿‍♂️	Homme Qui Lève La Main : Peau Foncée
🙋‍♀️	Femme Qui Lève La Main
🙋🏻‍♀️	Femme Qui Lève La Main : Peau Claire
🙋🏼‍♀️	Femme Qui Lève La Main : Peau Moyennement Claire
🙋🏽‍♀️	Femme Qui Lève La Main : Peau Légèrement Mate
🙋🏾‍♀️	Femme Qui Lève La Main : Peau Mate
🙋🏿‍♀️	Femme Qui Lève La Main : Peau Foncée
🧏	Personne Sourde
🧏🏻	Personne Sourde : Peau Claire
🧏🏼	Personne Sourde : Peau Moyennement Claire
🧏🏽	Personne Sourde : Peau Légèrement Mate
🧏🏾	Personne Sourde : Peau Mate
🧏🏿	Personne Sourde : Peau Foncée
🧏‍♂️	Homme Sourd
🧏🏻‍♂️	Homme Sourd : Peau Claire
🧏🏼‍♂️	Homme Sourd : Peau Moyennement Claire
🧏🏽‍♂️	Homme Sourd : Peau Légèrement Mate
🧏🏾‍♂️	Homme Sourd : Peau Mate
🧏🏿‍♂️	Homme Sourd : Peau Foncée
🧏‍♀️	Femme Sourde
🧏🏻‍♀️	Femme Sourde : Peau Claire
🧏🏼‍♀️	Femme Sourde : Peau Moyennement Claire
🧏🏽‍♀️	Femme Sourde : Peau Légèrement Mate
🧏🏾‍♀️	Femme Sourde : Peau Mate
🧏🏿‍♀️	Femme Sourde : Peau Foncée
🙇	Personne Qui S’incline
🙇🏻	Personne Qui S’incline : Peau Claire
🙇🏼	Personne Qui S’incline : Peau Moyennement Claire
🙇🏽	Personne Qui S’incline : Peau Légèrement Mate
🙇🏾	Personne Qui S’incline : Peau Mate
🙇🏿	Personne Qui S’incline : Peau Foncée
🙇‍♂️	Homme Qui S’incline
🙇🏻‍♂️	Homme Qui S’incline : Peau Claire
🙇🏼‍♂️	Homme Qui S’incline : Peau Moyennement Claire
🙇🏽‍♂️	Homme Qui S’incline : Peau Légèrement Mate
🙇🏾‍♂️	Homme Qui S’incline : Peau Mate
🙇🏿‍♂️	Homme Qui S’incline : Peau Foncée
🙇‍♀️	Femme Qui S’incline
🙇🏻‍♀️	Femme Qui S’incline : Peau Claire
🙇🏼‍♀️	Femme Qui S’incline : Peau Moyennement Claire
🙇🏽‍♀️	Femme Qui S’incline : Peau Légèrement Mate
🙇🏾‍♀️	Femme Qui S’incline : Peau Mate
🙇🏿‍♀️	Femme Qui S’incline : Peau Foncée
🤦	Personne Avec La Paume Sur Le Visage
🤦🏻	Personne Avec La Paume Sur Le Visage : Peau Claire
🤦🏼	Personne Avec La Paume Sur Le Visage : Peau Moyennement Claire
🤦🏽	Personne Avec La Paume Sur Le Visage : Peau Légèrement Mate
🤦🏾	Personne Avec La Paume Sur Le Visage : Peau Mate
🤦🏿	Personne Avec La Paume Sur Le Visage : Peau Foncée
🤦‍♂️	Homme Avec La Paume Sur Le Visage
🤦🏻‍♂️	Homme Avec La Paume Sur Le Visage : Peau Claire
🤦🏼‍♂️	Homme Avec La Paume Sur Le Visage : Peau Moyennement Claire
🤦🏽‍♂️	Homme Avec La Paume Sur Le Visage : Peau Légèrement Mate
🤦🏾‍♂️	Homme Avec La Paume Sur Le Visage : Peau Mate
🤦🏿‍♂️	Homme Avec La Paume Sur Le Visage : Peau Foncée
🤦‍♀️	Femme Avec La Paume Sur Le Visage
🤦🏻‍♀️	Femme Avec La Paume Sur Le Visage : Peau Claire
🤦🏼‍♀️	Femme Avec La Paume Sur Le Visage : Peau Moyennement Claire
🤦🏽‍♀️	Femme Avec La Paume Sur Le Visage : Peau Légèrement Mate
🤦🏾‍♀️	Femme Avec La Paume Sur Le Visage : Peau Mate
🤦🏿‍♀️	Femme Avec La Paume Sur Le Visage : Peau Foncée
🤷	Personne Qui Hausse Les épaules
🤷🏻	Personne Qui Hausse Les épaules : Peau Claire
🤷🏼	Personne Qui Hausse Les épaules : Peau Moyennement Claire
🤷🏽	Personne Qui Hausse Les épaules : Peau Légèrement Mate
🤷🏾	Personne Qui Hausse Les épaules : Peau Mate
🤷🏿	Personne Qui Hausse Les épaules : Peau Foncée
🤷‍♂️	Homme Qui Hausse Les épaules
🤷🏻‍♂️	Homme Qui Hausse Les épaules : Peau Claire
🤷🏼‍♂️	Homme Qui Hausse Les épaules : Peau Moyennement Claire
🤷🏽‍♂️	Homme Qui Hausse Les épaules : Peau Légèrement Mate
🤷🏾‍♂️	Homme Qui Hausse Les épaules : Peau Mate
🤷🏿‍♂️	Homme Qui Hausse Les épaules : Peau Foncée
🤷‍♀️	Femme Qui Hausse Les épaules
🤷🏻‍♀️	Femme Qui Hausse Les épaules : Peau Claire
🤷🏼‍♀️	Femme Qui Hausse Les épaules : Peau Moyennement Claire
🤷🏽‍♀️	Femme Qui Hausse Les épaules : Peau Légèrement Mate
🤷🏾‍♀️	Femme Qui Hausse Les épaules : Peau Mate
🤷🏿‍♀️	Femme Qui Hausse Les épaules : Peau Foncée
🧑‍⚕️	Professionnel De La Santé (tous Genres)
🧑🏻‍⚕️	Professionnel De La Santé (tous Genres) : Peau Claire
🧑🏼‍⚕️	Professionnel De La Santé (tous Genres) : Peau Moyennement Claire
🧑🏽‍⚕️	Professionnel De La Santé (tous Genres) : Peau Légèrement Mate
🧑🏾‍⚕️	Professionnel De La Santé (tous Genres) : Peau Mate
🧑🏿‍⚕️	Professionnel De La Santé (tous Genres) : Peau Foncée
👨‍⚕️	Professionnel De La Santé
👨🏻‍⚕️	Professionnel De La Santé : Peau Claire
👨🏼‍⚕️	Professionnel De La Santé : Peau Moyennement Claire
👨🏽‍⚕️	Professionnel De La Santé : Peau Légèrement Mate
👨🏾‍⚕️	Professionnel De La Santé : Peau Mate
👨🏿‍⚕️	Professionnel De La Santé : Peau Foncée
👩‍⚕️	Professionnelle De La Santé
👩🏻‍⚕️	Professionnelle De La Santé : Peau Claire
👩🏼‍⚕️	Professionnelle De La Santé : Peau Moyennement Claire
👩🏽‍⚕️	Professionnelle De La Santé : Peau Légèrement Mate
👩🏾‍⚕️	Professionnelle De La Santé : Peau Mate
👩🏿‍⚕️	Professionnelle De La Santé : Peau Foncée
🧑‍🎓	étudiant (tous Genres)
🧑🏻‍🎓	étudiant (tous Genres) : Peau Claire
🧑🏼‍🎓	étudiant (tous Genres) : Peau Moyennement Claire
🧑🏽‍🎓	étudiant (tous Genres) : Peau Légèrement Mate
🧑🏾‍🎓	étudiant (tous Genres) : Peau Mate
🧑🏿‍🎓	étudiant (tous Genres) : Peau Foncée
👨‍🎓	étudiant
👨🏻‍🎓	étudiant : Peau Claire
👨🏼‍🎓	étudiant : Peau Moyennement Claire
👨🏽‍🎓	étudiant : Peau Légèrement Mate
👨🏾‍🎓	étudiant : Peau Mate
👨🏿‍🎓	étudiant : Peau Foncée
👩‍🎓	étudiante
👩🏻‍🎓	étudiante : Peau Claire
👩🏼‍🎓	étudiante : Peau Moyennement Claire
👩🏽‍🎓	étudiante : Peau Légèrement Mate
👩🏾‍🎓	étudiante : Peau Mate
👩🏿‍🎓	étudiante : Peau Foncée
🧑‍🏫	Personnel Enseignant
🧑🏻‍🏫	Personnel Enseignant : Peau Claire
🧑🏼‍🏫	Personnel Enseignant : Peau Moyennement Claire
🧑🏽‍🏫	Personnel Enseignant : Peau Légèrement Mate
🧑🏾‍🏫	Personnel Enseignant : Peau Mate
🧑🏿‍🏫	Personnel Enseignant : Peau Foncée
👨‍🏫	Enseignant
👨🏻‍🏫	Enseignant : Peau Claire
👨🏼‍🏫	Enseignant : Peau Moyennement Claire
👨🏽‍🏫	Enseignant : Peau Légèrement Mate
👨🏾‍🏫	Enseignant : Peau Mate
👨🏿‍🏫	Enseignant : Peau Foncée
👩‍🏫	Enseignante
👩🏻‍🏫	Enseignante : Peau Claire
👩🏼‍🏫	Enseignante : Peau Moyennement Claire
👩🏽‍🏫	Enseignante : Peau Légèrement Mate
👩🏾‍🏫	Enseignante : Peau Mate
👩🏿‍🏫	Enseignante : Peau Foncée
🧑‍⚖️	Juge
🧑🏻‍⚖️	Juge : Peau Claire
🧑🏼‍⚖️	Juge : Peau Moyennement Claire
🧑🏽‍⚖️	Juge : Peau Légèrement Mate
🧑🏾‍⚖️	Juge : Peau Mate
🧑🏿‍⚖️	Juge : Peau Foncée
👨‍⚖️	Juge Homme
👨🏻‍⚖️	Juge Homme : Peau Claire
👨🏼‍⚖️	Juge Homme : Peau Moyennement Claire
👨🏽‍⚖️	Juge Homme : Peau Légèrement Mate
👨🏾‍⚖️	Juge Homme : Peau Mate
👨🏿‍⚖️	Juge Homme : Peau Foncée
👩‍⚖️	Juge Femme
👩🏻‍⚖️	Juge Femme : Peau Claire
👩🏼‍⚖️	Juge Femme : Peau Moyennement Claire
👩🏽‍⚖️	Juge Femme : Peau Légèrement Mate
👩🏾‍⚖️	Juge Femme : Peau Mate
👩🏿‍⚖️	Juge Femme : Peau Foncée
🧑‍🌾	Fermier (tous Genres)
🧑🏻‍🌾	Fermier (tous Genres) : Peau Claire
🧑🏼‍🌾	Fermier (tous Genres) : Peau Moyennement Claire
🧑🏽‍🌾	Fermier (tous Genres) : Peau Légèrement Mate
🧑🏾‍🌾	Fermier (tous Genres) : Peau Mate
🧑🏿‍🌾	Fermier (tous Genres) : Peau Foncée
👨‍🌾	Fermier
👨🏻‍🌾	Fermier : Peau Claire
👨🏼‍🌾	Fermier : Peau Moyennement Claire
👨🏽‍🌾	Fermier : Peau Légèrement Mate
👨🏾‍🌾	Fermier : Peau Mate
👨🏿‍🌾	Fermier : Peau Foncée
👩‍🌾	Fermière
👩🏻‍🌾	Fermière : Peau Claire
👩🏼‍🌾	Fermière : Peau Moyennement Claire
👩🏽‍🌾	Fermière : Peau Légèrement Mate
👩🏾‍🌾	Fermière : Peau Mate
👩🏿‍🌾	Fermière : Peau Foncée
🧑‍🍳	Cuisinier (tous Genres)
🧑🏻‍🍳	Cuisinier (tous Genres) : Peau Claire
🧑🏼‍🍳	Cuisinier (tous Genres) : Peau Moyennement Claire
🧑🏽‍🍳	Cuisinier (tous Genres) : Peau Légèrement Mate
🧑🏾‍🍳	Cuisinier (tous Genres) : Peau Mate
🧑🏿‍🍳	Cuisinier (tous Genres) : Peau Foncée
👨‍🍳	Cuisinier
👨🏻‍🍳	Cuisinier : Peau Claire
👨🏼‍🍳	Cuisinier : Peau Moyennement Claire
👨🏽‍🍳	Cuisinier : Peau Légèrement Mate
👨🏾‍🍳	Cuisinier : Peau Mate
👨🏿‍🍳	Cuisinier : Peau Foncée
👩‍🍳	Cuisinière
👩🏻‍🍳	Cuisinière : Peau Claire
👩🏼‍🍳	Cuisinière : Peau Moyennement Claire
👩🏽‍🍳	Cuisinière : Peau Légèrement Mate
👩🏾‍🍳	Cuisinière : Peau Mate
👩🏿‍🍳	Cuisinière : Peau Foncée
🧑‍🔧	Mécanicien (tous Genres)
🧑🏻‍🔧	Mécanicien (tous Genres) : Peau Claire
🧑🏼‍🔧	Mécanicien (tous Genres) : Peau Moyennement Claire
🧑🏽‍🔧	Mécanicien (tous Genres) : Peau Légèrement Mate
🧑🏾‍🔧	Mécanicien (tous Genres) : Peau Mate
🧑🏿‍🔧	Mécanicien (tous Genres) : Peau Foncée
👨‍🔧	Mécanicien
👨🏻‍🔧	Mécanicien : Peau Claire
👨🏼‍🔧	Mécanicien : Peau Moyennement Claire
👨🏽‍🔧	Mécanicien : Peau Légèrement Mate
👨🏾‍🔧	Mécanicien : Peau Mate
👨🏿‍🔧	Mécanicien : Peau Foncée
👩‍🔧	Mécanicienne
👩🏻‍🔧	Mécanicienne : Peau Claire
👩🏼‍🔧	Mécanicienne : Peau Moyennement Claire
👩🏽‍🔧	Mécanicienne : Peau Légèrement Mate
👩🏾‍🔧	Mécanicienne : Peau Mate
👩🏿‍🔧	Mécanicienne : Peau Foncée
🧑‍🏭	Ouvrier (tous Genres)
🧑🏻‍🏭	Ouvrier (tous Genres) : Peau Claire
🧑🏼‍🏭	Ouvrier (tous Genres) : Peau Moyennement Claire
🧑🏽‍🏭	Ouvrier (tous Genres) : Peau Légèrement Mate
🧑🏾‍🏭	Ouvrier (tous Genres) : Peau Mate
🧑🏿‍🏭	Ouvrier (tous Genres) : Peau Foncée
👨‍🏭	Ouvrier
👨🏻‍🏭	Ouvrier : Peau Claire
👨🏼‍🏭	Ouvrier : Peau Moyennement Claire
👨🏽‍🏭	Ouvrier : Peau Légèrement Mate
👨🏾‍🏭	Ouvrier : Peau Mate
👨🏿‍🏭	Ouvrier : Peau Foncée
👩‍🏭	Ouvrière
👩🏻‍🏭	Ouvrière : Peau Claire
👩🏼‍🏭	Ouvrière : Peau Moyennement Claire
👩🏽‍🏭	Ouvrière : Peau Légèrement Mate
👩🏾‍🏭	Ouvrière : Peau Mate
👩🏿‍🏭	Ouvrière : Peau Foncée
🧑‍💼	Employé De Bureau (tous Genres)
🧑🏻‍💼	Employé De Bureau (tous Genres) : Peau Claire
🧑🏼‍💼	Employé De Bureau (tous Genres) : Peau Moyennement Claire
🧑🏽‍💼	Employé De Bureau (tous Genres) : Peau Légèrement Mate
🧑🏾‍💼	Employé De Bureau (tous Genres) : Peau Mate
🧑🏿‍💼	Employé De Bureau (tous Genres) : Peau Foncée
👨‍💼	Employé De Bureau
👨🏻‍💼	Employé De Bureau : Peau Claire
👨🏼‍💼	Employé De Bureau : Peau Moyennement Claire
👨🏽‍💼	Employé De Bureau : Peau Légèrement Mate
👨🏾‍💼	Employé De Bureau : Peau Mate
👨🏿‍💼	Employé De Bureau : Peau Foncée
👩‍💼	Employée De Bureau
👩🏻‍💼	Employée De Bureau : Peau Claire
👩🏼‍💼	Employée De Bureau : Peau Moyennement Claire
👩🏽‍💼	Employée De Bureau : Peau Légèrement Mate
👩🏾‍💼	Employée De Bureau : Peau Mate
👩🏿‍💼	Employée De Bureau : Peau Foncée
🧑‍🔬	Scientifique
🧑🏻‍🔬	Scientifique : Peau Claire
🧑🏼‍🔬	Scientifique : Peau Moyennement Claire
🧑🏽‍🔬	Scientifique : Peau Légèrement Mate
🧑🏾‍🔬	Scientifique : Peau Mate
🧑🏿‍🔬	Scientifique : Peau Foncée
👨‍🔬	Scientifique Homme
👨🏻‍🔬	Scientifique Homme : Peau Claire
👨🏼‍🔬	Scientifique Homme : Peau Moyennement Claire
👨🏽‍🔬	Scientifique Homme : Peau Légèrement Mate
👨🏾‍🔬	Scientifique Homme : Peau Mate
👨🏿‍🔬	Scientifique Homme : Peau Foncée
👩‍🔬	Scientifique Femme
👩🏻‍🔬	Scientifique Femme : Peau Claire
👩🏼‍🔬	Scientifique Femme : Peau Moyennement Claire
👩🏽‍🔬	Scientifique Femme : Peau Légèrement Mate
👩🏾‍🔬	Scientifique Femme : Peau Mate
👩🏿‍🔬	Scientifique Femme : Peau Foncée
🧑‍💻	Informaticien (tous Genres)
🧑🏻‍💻	Informaticien (tous Genres) : Peau Claire
🧑🏼‍💻	Informaticien (tous Genres) : Peau Moyennement Claire
🧑🏽‍💻	Informaticien (tous Genres) : Peau Légèrement Mate
🧑🏾‍💻	Informaticien (tous Genres) : Peau Mate
🧑🏿‍💻	Informaticien (tous Genres) : Peau Foncée
👨‍💻	Informaticien
👨🏻‍💻	Informaticien : Peau Claire
👨🏼‍💻	Informaticien : Peau Moyennement Claire
👨🏽‍💻	Informaticien : Peau Légèrement Mate
👨🏾‍💻	Informaticien : Peau Mate
👨🏿‍💻	Informaticien : Peau Foncée
👩‍💻	Informaticienne
👩🏻‍💻	Informaticienne : Peau Claire
👩🏼‍💻	Informaticienne : Peau Moyennement Claire
👩🏽‍💻	Informaticienne : Peau Légèrement Mate
👩🏾‍💻	Informaticienne : Peau Mate
👩🏿‍💻	Informaticienne : Peau Foncée
🧑‍🎤	Chanteur (tous Genres)
🧑🏻‍🎤	Chanteur (tous Genres) : Peau Claire
🧑🏼‍🎤	Chanteur (tous Genres) : Peau Moyennement Claire
🧑🏽‍🎤	Chanteur (tous Genres) : Peau Légèrement Mate
🧑🏾‍🎤	Chanteur (tous Genres) : Peau Mate
🧑🏿‍🎤	Chanteur (tous Genres) : Peau Foncée
👨‍🎤	Chanteur
👨🏻‍🎤	Chanteur : Peau Claire
👨🏼‍🎤	Chanteur : Peau Moyennement Claire
👨🏽‍🎤	Chanteur : Peau Légèrement Mate
👨🏾‍🎤	Chanteur : Peau Mate
👨🏿‍🎤	Chanteur : Peau Foncée
👩‍🎤	Chanteuse
👩🏻‍🎤	Chanteuse : Peau Claire
👩🏼‍🎤	Chanteuse : Peau Moyennement Claire
👩🏽‍🎤	Chanteuse : Peau Légèrement Mate
👩🏾‍🎤	Chanteuse : Peau Mate
👩🏿‍🎤	Chanteuse : Peau Foncée
🧑‍🎨	Artiste
🧑🏻‍🎨	Artiste : Peau Claire
🧑🏼‍🎨	Artiste : Peau Moyennement Claire
🧑🏽‍🎨	Artiste : Peau Légèrement Mate
🧑🏾‍🎨	Artiste : Peau Mate
🧑🏿‍🎨	Artiste : Peau Foncée
👨‍🎨	Artiste Homme
👨🏻‍🎨	Artiste Homme : Peau Claire
👨🏼‍🎨	Artiste Homme : Peau Moyennement Claire
👨🏽‍🎨	Artiste Homme : Peau Légèrement Mate
👨🏾‍🎨	Artiste Homme : Peau Mate
👨🏿‍🎨	Artiste Homme : Peau Foncée
👩‍🎨	Artiste Femme
👩🏻‍🎨	Artiste Femme : Peau Claire
👩🏼‍🎨	Artiste Femme : Peau Moyennement Claire
👩🏽‍🎨	Artiste Femme : Peau Légèrement Mate
👩🏾‍🎨	Artiste Femme : Peau Mate
👩🏿‍🎨	Artiste Femme : Peau Foncée
🧑‍✈️	Pilote
🧑🏻‍✈️	Pilote : Peau Claire
🧑🏼‍✈️	Pilote : Peau Moyennement Claire
🧑🏽‍✈️	Pilote : Peau Légèrement Mate
🧑🏾‍✈️	Pilote : Peau Mate
🧑🏿‍✈️	Pilote : Peau Foncée
👨‍✈️	Pilote Homme
👨🏻‍✈️	Pilote Homme : Peau Claire
👨🏼‍✈️	Pilote Homme : Peau Moyennement Claire
👨🏽‍✈️	Pilote Homme : Peau Légèrement Mate
👨🏾‍✈️	Pilote Homme : Peau Mate
👨🏿‍✈️	Pilote Homme : Peau Foncée
👩‍✈️	Pilote Femme
👩🏻‍✈️	Pilote Femme : Peau Claire
👩🏼‍✈️	Pilote Femme : Peau Moyennement Claire
👩🏽‍✈️	Pilote Femme : Peau Légèrement Mate
👩🏾‍✈️	Pilote Femme : Peau Mate
👩🏿‍✈️	Pilote Femme : Peau Foncée
🧑‍🚀	Astronaute
🧑🏻‍🚀	Astronaute : Peau Claire
🧑🏼‍🚀	Astronaute : Peau Moyennement Claire
🧑🏽‍🚀	Astronaute : Peau Légèrement Mate
🧑🏾‍🚀	Astronaute : Peau Mate
🧑🏿‍🚀	Astronaute : Peau Foncée
👨‍🚀	Astronaute Homme
👨🏻‍🚀	Astronaute Homme : Peau Claire
👨🏼‍🚀	Astronaute Homme : Peau Moyennement Claire
👨🏽‍🚀	Astronaute Homme : Peau Légèrement Mate
👨🏾‍🚀	Astronaute Homme : Peau Mate
👨🏿‍🚀	Astronaute Homme : Peau Foncée
👩‍🚀	Astronaute Femme
👩🏻‍🚀	Astronaute Femme : Peau Claire
👩🏼‍🚀	Astronaute Femme : Peau Moyennement Claire
👩🏽‍🚀	Astronaute Femme : Peau Légèrement Mate
👩🏾‍🚀	Astronaute Femme : Peau Mate
👩🏿‍🚀	Astronaute Femme : Peau Foncée
🧑‍🚒	Pompier
🧑🏻‍🚒	Pompier : Peau Claire
🧑🏼‍🚒	Pompier : Peau Moyennement Claire
🧑🏽‍🚒	Pompier : Peau Légèrement Mate
🧑🏾‍🚒	Pompier : Peau Mate
🧑🏿‍🚒	Pompier : Peau Foncée
👨‍🚒	Pompier Homme
👨🏻‍🚒	Pompier Homme : Peau Claire
👨🏼‍🚒	Pompier Homme : Peau Moyennement Claire
👨🏽‍🚒	Pompier Homme : Peau Légèrement Mate
👨🏾‍🚒	Pompier Homme : Peau Mate
👨🏿‍🚒	Pompier Homme : Peau Foncée
👩‍🚒	Pompier Femme
👩🏻‍🚒	Pompier Femme : Peau Claire
👩🏼‍🚒	Pompier Femme : Peau Moyennement Claire
👩🏽‍🚒	Pompier Femme : Peau Légèrement Mate
👩🏾‍🚒	Pompier Femme : Peau Mate
👩🏿‍🚒	Pompier Femme : Peau Foncée
👮	Officier De Police
👮🏻	Officier De Police : Peau Claire
👮🏼	Officier De Police : Peau Moyennement Claire
👮🏽	Officier De Police : Peau Légèrement Mate
👮🏾	Officier De Police : Peau Mate
👮🏿	Officier De Police : Peau Foncée
👮‍♂️	Policier
👮🏻‍♂️	Policier : Peau Claire
👮🏼‍♂️	Policier : Peau Moyennement Claire
👮🏽‍♂️	Policier : Peau Légèrement Mate
👮🏾‍♂️	Policier : Peau Mate
👮🏿‍♂️	Policier : Peau Foncée
👮‍♀️	Policière
👮🏻‍♀️	Policière : Peau Claire
👮🏼‍♀️	Policière : Peau Moyennement Claire
👮🏽‍♀️	Policière : Peau Légèrement Mate
👮🏾‍♀️	Policière : Peau Mate
👮🏿‍♀️	Policière : Peau Foncée
🕵️	Détective
🕵🏻	Détective : Peau Claire
🕵🏼	Détective : Peau Moyennement Claire
🕵🏽	Détective : Peau Légèrement Mate
🕵🏾	Détective : Peau Mate
🕵🏿	Détective : Peau Foncée
🕵️‍♂️	Détective Homme
🕵🏻‍♂️	Détective Homme : Peau Claire
🕵🏼‍♂️	Détective Homme : Peau Moyennement Claire
🕵🏽‍♂️	Détective Homme : Peau Légèrement Mate
🕵🏾‍♂️	Détective Homme : Peau Mate
🕵🏿‍♂️	Détective Homme : Peau Foncée
🕵️‍♀️	Détective Femme
🕵🏻‍♀️	Détective Femme : Peau Claire
🕵🏼‍♀️	Détective Femme : Peau Moyennement Claire
🕵🏽‍♀️	Détective Femme : Peau Légèrement Mate
🕵🏾‍♀️	Détective Femme : Peau Mate
🕵🏿‍♀️	Détective Femme : Peau Foncée
💂	Garde
💂🏻	Garde : Peau Claire
💂🏼	Garde : Peau Moyennement Claire
💂🏽	Garde : Peau Légèrement Mate
💂🏾	Garde : Peau Mate
💂🏿	Garde : Peau Foncée
💂‍♂️	Garde Homme
💂🏻‍♂️	Garde Homme : Peau Claire
💂🏼‍♂️	Garde Homme : Peau Moyennement Claire
💂🏽‍♂️	Garde Homme : Peau Légèrement Mate
💂🏾‍♂️	Garde Homme : Peau Mate
💂🏿‍♂️	Garde Homme : Peau Foncée
💂‍♀️	Garde Femme
💂🏻‍♀️	Garde Femme : Peau Claire
💂🏼‍♀️	Garde Femme : Peau Moyennement Claire
💂🏽‍♀️	Garde Femme : Peau Légèrement Mate
💂🏾‍♀️	Garde Femme : Peau Mate
💂🏿‍♀️	Garde Femme : Peau Foncée
🥷	Ninja
🥷🏻	Ninja : Peau Claire
🥷🏼	Ninja : Peau Moyennement Claire
🥷🏽	Ninja : Peau Légèrement Mate
🥷🏾	Ninja : Peau Mate
🥷🏿	Ninja : Peau Foncée
👷	Personnel Du Bâtiment
👷🏻	Personnel Du Bâtiment : Peau Claire
👷🏼	Personnel Du Bâtiment : Peau Moyennement Claire
👷🏽	Personnel Du Bâtiment : Peau Légèrement Mate
👷🏾	Personnel Du Bâtiment : Peau Mate
👷🏿	Personnel Du Bâtiment : Peau Foncée
👷‍♂️	Ouvrier Du Bâtiment
👷🏻‍♂️	Ouvrier Du Bâtiment : Peau Claire
👷🏼‍♂️	Ouvrier Du Bâtiment : Peau Moyennement Claire
👷🏽‍♂️	Ouvrier Du Bâtiment : Peau Légèrement Mate
👷🏾‍♂️	Ouvrier Du Bâtiment : Peau Mate
👷🏿‍♂️	Ouvrier Du Bâtiment : Peau Foncée
👷‍♀️	Ouvrière Du Bâtiment
👷🏻‍♀️	Ouvrière Du Bâtiment : Peau Claire
👷🏼‍♀️	Ouvrière Du Bâtiment : Peau Moyennement Claire
👷🏽‍♀️	Ouvrière Du Bâtiment : Peau Légèrement Mate
👷🏾‍♀️	Ouvrière Du Bâtiment : Peau Mate
👷🏿‍♀️	Ouvrière Du Bâtiment : Peau Foncée
🤴	Prince
🤴🏻	Prince : Peau Claire
🤴🏼	Prince : Peau Moyennement Claire
🤴🏽	Prince : Peau Légèrement Mate
🤴🏾	Prince : Peau Mate
🤴🏿	Prince : Peau Foncée
👸	Princesse
