emoji	signification
🤌🏻	Bout Des Doigts Joints : Peau Claire
🤌🏼	Bout Des Doigts Joints : Peau Moyennement Claire
🤌🏽	Bout Des Doigts Joints : Peau Légèrement Mate
🤌🏾	Bout Des Doigts Joints : Peau Mate
🤌🏿	Bout Des Doigts Joints : Peau Foncée
🤏	Pouce Et Index Rapprochés
🤏🏻	Pouce Et Index Rapprochés : Peau Claire
🤏🏼	Pouce Et Index Rapprochés : Peau Moyennement Claire
🤏🏽	Pouce Et Index Rapprochés : Peau Légèrement Mate
🤏🏾	Pouce Et Index Rapprochés : Peau Mate
🤏🏿	Pouce Et Index Rapprochés : Peau Foncée
✌️	V De La Victoire
✌🏻	V De La Victoire : Peau Claire
✌🏼	V De La Victoire : Peau Moyennement Claire
✌🏽	V De La Victoire : Peau Légèrement Mate
✌🏾	V De La Victoire : Peau Mate
✌🏿	V De La Victoire : Peau Foncée
🤞	Doigts Croisés
🤞🏻	Doigts Croisés : Peau Claire
🤞🏼	Doigts Croisés : Peau Moyennement Claire
🤞🏽	Doigts Croisés : Peau Légèrement Mate
🤞🏾	Doigts Croisés : Peau Mate
🤞🏿	Doigts Croisés : Peau Foncée
🤟	Signe Je T’aime
🤟🏻	Signe Je T’aime : Peau Claire
🤟🏼	Signe Je T’aime : Peau Moyennement Claire
🤟🏽	Signe Je T’aime : Peau Légèrement Mate
🤟🏾	Signe Je T’aime : Peau Mate
🤟🏿	Signe Je T’aime : Peau Foncée
🤘	Cornes Avec Les Doigts
🤘🏻	Cornes Avec Les Doigts : Peau Claire
🤘🏼	Cornes Avec Les Doigts : Peau Moyennement Claire
🤘🏽	Cornes Avec Les Doigts : Peau Légèrement Mate
🤘🏾	Cornes Avec Les Doigts : Peau Mate
🤘🏿	Cornes Avec Les Doigts : Peau Foncée
🤙	Signe Appel Téléphonique Avec Les Doigts
🤙🏻	Signe Appel Téléphonique Avec Les Doigts : Peau Claire
🤙🏼	Signe Appel Téléphonique Avec Les Doigts : Peau Moyennement Claire
🤙🏽	Signe Appel Téléphonique Avec Les Doigts : Peau Légèrement Mate
🤙🏾	Signe Appel Téléphonique Avec Les Doigts : Peau Mate
🤙🏿	Signe Appel Téléphonique Avec Les Doigts : Peau Foncée
👈	Main Avec Index Pointant à Gauche
👈🏻	Main Avec Index Pointant à Gauche : Peau Claire
👈🏼	Main Avec Index Pointant à Gauche : Peau Moyennement Claire
👈🏽	Main Avec Index Pointant à Gauche : Peau Légèrement Mate
👈🏾	Main Avec Index Pointant à Gauche : Peau Mate
👈🏿	Main Avec Index Pointant à Gauche : Peau Foncée
👉	Main Avec Index Pointant à Droite
👉🏻	Main Avec Index Pointant à Droite : Peau Claire
👉🏼	Main Avec Index Pointant à Droite : Peau Moyennement Claire
👉🏽	Main Avec Index Pointant à Droite : Peau Légèrement Mate
👉🏾	Main Avec Index Pointant à Droite : Peau Mate
👉🏿	Main Avec Index Pointant à Droite : Peau Foncée
👆	Main Avec Index Pointant Vers Le Haut
👆🏻	Main Avec Index Pointant Vers Le Haut : Peau Claire
👆🏼	Main Avec Index Pointant Vers Le Haut : Peau Moyennement Claire
👆🏽	Main Avec Index Pointant Vers Le Haut : Peau Légèrement Mate
